HACKTHEBOX MACHINE LIST — 513 BOXES
Generated: 2026-02-07
Account: Bugg (Dedicated VIP)
=====================================================================================

─────────────────────────────────────────────────────────────────────────────────────
 EASY — 152 boxes (108 Linux, 38 Windows, 6 Other)
─────────────────────────────────────────────────────────────────────────────────────
   ID  Name                    OS         Points  Rating  Status    Done?
-----  ----------------------  ---------  ------  ------  --------  -----
  297  Academy                 Linux           0     4.7  ACTIVE    [ ]
  156  Access                  Windows         0     4.8  ACTIVE    [ ]
  148  Active                  Windows         0     4.9  ACTIVE    [ ]
  248  Admirer                 Linux           0     3.4  ACTIVE    [ ]
  636  Alert                   Linux           0     4.3  ACTIVE    [ ]
  569  Analytics               Linux           0     4.1  ACTIVE    [ ]
  400  Antique                 Linux           0     4.4  ACTIVE    [ ]
    9  Arctic                  Windows         0     4.1  ACTIVE    [ ]
  323  Armageddon              Linux           0     3.8  ACTIVE    [ ]
  668  Artificial              Linux           0     4.2  ACTIVE    [ ]
  739  Baby                    Windows         0     4.8  ACTIVE    [ ]
  416  Backdoor                Linux           0     3.6  ACTIVE    [ ]
   26  Bank                    Linux           0     4.6  ACTIVE    [ ]
  118  Bashed                  Linux           0     4.7  ACTIVE    [ ]
  186  Bastion                 Windows         0     4.9  ACTIVE    [ ]
    5  Beep                    Linux           0     4.7  ACTIVE    [ ]
  582  Bizness                 Linux           0     2.8  ACTIVE    [ ]
   48  Blocky                  Linux           0     4.7  ACTIVE    [ ]
   51  Blue                    Windows         0     4.5  ACTIVE    [ ]
  254  Blunder                 Linux           0     3.4  ACTIVE    [ ]
  603  BoardLight              Linux           0     4.5  ACTIVE    [ ]
  142  Bounty                  Windows         0     4.5  ACTIVE    [ ]
  359  BountyHunter            Linux           0     4.6  ACTIVE    [ ]
  578  Broker                  Linux           0     4.5  ACTIVE    [ ]
  263  Buff                    Windows         0     3.5  ACTIVE    [ ]
  537  Busqueda                Linux           0     4.4  ACTIVE    [ ]
  351  Cap                     Linux           0     4.6  ACTIVE    [ ]
  631  Chemistry               Linux           0     4.4  ACTIVE    [ ]
  627  Cicada                  Windows         0     4.6  ACTIVE    [ ]
  653  Code                    Linux           0     4.0  ACTIVE    [ ]
  692  CodePartTwo             Linux           0     4.4  ACTIVE    [ ]
